122.52	52.97	-0.03	-0.03	-0.26	0.65	-0.36	0.05	0.39	-0.18	-0.44	0.19	-0.38	0.2	-0.45	-0.33	-0.02	-0.52	0.34	0.26	-0.5	-0.5	-0.1	0	-0.24	-0.12	0.22	-0.2	0.22	0.33	0.03	-0.12	0.17	-0.65	0.27	-0.25	-0.21	-0.54	0.34	0.43	0.32	-0.43	0.3	0.32	0.08	-0.04	0.25	0.12	-0.34	0.5	0.61	-0.23	-0.04	0.89	0.21	-0.08
124.72	52.35	-0.12	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.65	-0.45	-0.38	0	-0.46	0.31	0.33	-0.65	-0.41	0.1	0.26	-0.32	-0.64	0.23	-0.17	0.46	0.03	0.1	0.25	0.01	-0.39	0.07	-0.07	0.17	-0.12	0.3	0.23	0.27	-0.32	0.19	-0.06	0.32	-0.22	0.1	-0.46	-0.36	0.55	0.66	-0.43	-0.3	0.36	-0.23	-0.26
124.33	51.7	-0.22	-0.22	-0.22	-0.22	-0.22	-0.22	-0.22	-0.22	-0.22	-0.22	-0.22	0.72	-0.22	-0.5	0.04	-0.13	0.42	0.31	-0.4	-0.13	0.27	0.36	0.06	-0.54	0.07	-0.22	0.56	-0.08	0.17	0.39	0.3	-0.47	0.09	0.19	-0.01	-0.1	0.67	0.29	0.34	-0.32	0.11	-0.08	0.13	-0.28	0.13	0.01	-0.26	0.17	0.72	-0.46	-0.27	0.45	0.06	-0.15
126.65	51.72	-0.09	-0.07	0.42	0.57	0.3	-0.43	0.37	-0.09	-0.09	0.34	-0.05	0.72	-0.41	-0.42	-0.15	-0.17	0	-0.13	-0.64	-0.35	0.5	0.22	-0.36	-0.65	0.29	0.14	0.63	0.24	0.1	-0.01	0.2	-0.48	0.28	-0.36	0.07	-0.26	0.33	0.19	0.09	-0.14	0.11	0.1	0.2	-0.55	0.08	-0.37	-0.26	0.03	0.61	-0.46	-0.38	0.48	-0.47	0.07
120.18	50.25	0.6	0.01	0.12	0.07	-0.13	-0.46	0	-0.21	-0.13	-0.1	0.14	0.6	-0.27	0.06	-0.39	-0.32	-0.32	0.17	-0.17	-0.26	0.03	0.38	0.66	0.24	0.18	0.09	0.46	0.18	-0.35	-0.17	-0.1	-0.6	0.13	0.31	0.09	-0.19	0.2	0.38	0.4	-0.52	0.53	-0.47	-0.23	0.51	-0.46	0.09	-0.43	0.19	0.03	-0.41	-0.46	0.47	-0.03	-0.21
121.68	50.48	0.21	-0.06	0.12	0.66	-0.34	0.28	-0.2	0.21	-0.11	0.33	0.17	0.65	-0.26	0.06	-0.21	-0.2	0.88	0.18	-0.24	-0.45	-0.07	0.12	0.39	-0.24	0.32	-0.17	0.47	0	-0.46	-0.01	-0.07	-0.56	0	0.22	0.12	-0.35	0.28	0.28	0.34	-0.44	-0.13	-0.49	-0.43	0.05	-0.45	-0.03	-0.45	0.08	0.3	-0.46	-0.09	0.31	-0.02	-0.1
124.12	50.4	0.01	0.01	0.01	0.01	0.01	0.01	0.32	-0.09	0.09	0.28	0	0.67	-0.18	-0.07	-0.11	-0.01	0.22	0.11	-0.55	-0.27	-0.13	0.52	0.49	-0.49	0.08	-0.17	0.53	0.41	-0.25	0.4	0.36	-0.57	-0.12	-0.01	-0.09	-0.57	0.36	0.36	0.03	-0.11	0.2	0.11	-0.36	-0.63	0.04	-0.11	-0.09	-0.1	0.44	-0.69	-0.26	0.08	0.03	-0.03
127.45	50.25	0.15	-0.15	0.36	0.77	0.06	-0.19	0.45	0.03	0.02	0.21	-0.06	0.69	-0.1	-0.28	-0.29	0.04	0.13	0.06	-0.47	-0.31	0.08	0.51	0.11	-0.9	0.69	0.05	0.46	-0.09	-0.03	0.15	0.3	-0.5	0.35	-0.16	-0.11	-0.47	0.11	0.69	-0.19	-0.49	-0.09	0.26	0.31	-0.34	0.04	-0.19	-0.47	-0.09	0.14	-0.61	-0.47	0.5	-0.25	-0.2
117.43	49.57	0.41	-0.04	0.51	0.33	0.21	-0.3	0.33	0.09	0.09	0.52	-0.11	0.77	-0.12	-0.12	-0.64	-0.64	-0.64	-0.64	-0.64	-0.19	-0.05	1.05	0.65	0.07	0.38	0.08	0.35	0	-0.09	-0.11	-0.08	-0.81	0.14	0.41	-0.1	-0.13	0.28	0.63	0.25	-0.28	0.18	-0.56	-0.4	0	-0.41	0.17	-0.63	0	-0.06	-0.21	-0.3	0.52	-0.03	-0.14
119.75	49.22	0.44	-0.27	0.31	0.56	0.33	-0.19	-0.32	0.13	0.13	0.03	0.12	0.8	-0.33	-0.19	-0.38	-0.09	0.74	-0.04	-0.49	-0.33	-0.01	0.53	0.2	-0.24	0.17	0.28	0.43	0.04	-0.24	-0.43	-0.25	-0.47	0.03	0.42	0.18	-0.1	-0.09	0.27	0.21	-0.09	0.02	-0.37	-0.65	0.26	-0.46	0.3	-0.43	0.24	-0.14	-0.52	-0.29	0.54	0.38	-0.45
123.72	49.2	0.31	-0.17	0.6	0.48	-0.27	-0.18	0.17	-0.02	0.3	0.18	0.23	0.98	-0.07	-0.02	-0.31	0.13	0.5	0.03	-0.59	-0.34	-0.04	0.59	0.14	-0.7	0.55	-0.21	0.08	0.28	-0.33	0.14	0.09	-0.47	-0.21	-0.17	-0.15	-0.53	0.31	0.88	0.03	-0.18	0.24	-0.13	-0.26	-0.29	-0.34	-0.26	-0.33	0.02	0.01	-0.44	-0.19	0.04	0.09	-0.3
125.23	49.17	0.34	0.29	0.19	0.02	-0.11	-0.33	0.04	-0.01	0.28	-0.18	-0.16	0.83	0.08	0.01	-0.16	0.02	0.57	0.25	-0.55	-0.5	0.35	0.57	-0.2	-0.77	0.62	-0.16	0.35	-0.09	-0.46	-0.04	0.52	-0.54	0.37	0.02	0.02	-0.18	0.34	1.02	0.18	-0.02	0.13	-0.01	0.24	-0.37	-0.21	-0.41	-0.5	-0.03	0.08	-0.76	-0.45	0.21	-0.48	-0.22
127.35	49.43	0.2	0.04	0.3	0.5	-0.15	-0.12	0.16	0.08	0.3	-0.09	-0.06	0.5	0.2	-0.13	-0.27	0.09	0.66	0.19	-0.33	-0.48	-0.1	0.43	0.07	-0.94	0.12	-0.08	0.52	0.04	-0.14	0.23	0.42	-0.48	0.29	-0.31	-0.3	-0.31	0.34	0.74	0.25	-0.37	-0.04	0.36	0.31	-0.27	-0.07	-0.25	-0.5	-0.39	0.14	-0.57	-0.45	0.23	-0.46	-0.19
116.82	48.67	0.44	-0.21	0.25	0.55	0.2	-0.74	-0.07	0.01	-0.45	0.13	0.08	0.08	0.12	-0.55	-0.69	-0.19	1.07	0.13	-0.07	-0.28	0.03	0.62	0.24	0.08	-0.07	-0.21	0.03	-0.01	0.29	0.03	-0.37	-0.31	-0.12	0.36	-0.19	-0.07	0.35	0.55	0.59	0.03	0.11	-0.1	-0.6	0.18	-0.28	0.32	-0.57	-0.26	0.13	-0.15	-0.42	0.46	-0.09	-0.31
118.27	48.22	0.35	0.23	0.2	0.56	0.39	-0.28	-0.23	-0.03	-0.26	0.08	-0.09	0.48	-0.09	-0.21	-0.77	-0.49	0.92	-0.29	-0.29	-0.19	0.22	0.68	0.28	-0.19	-0.11	0	0.18	-0.15	-0.23	-0.12	-0.28	-0.39	-0.05	0.5	-0.04	-0.02	0.09	0.5	0.11	-0.17	-0.12	-0.09	-0.49	0.53	-0.36	0.42	-0.44	0.01	-0.19	0.08	-0.47	0.67	0.13	-0.41
121.92	48.77	0.45	0.04	0.16	0.58	-0.03	-0.04	0.05	0.13	0.32	0.02	0.43	0.77	-0.31	-0.29	-0.34	-0.03	0.62	-0.19	-0.35	-0.54	-0.11	0.2	0.13	-0.35	0.55	-0.34	0.18	0.45	-0.39	0.11	0.26	-0.37	-0.16	0.02	-0.13	-0.38	0.3	0.48	0.45	-0.08	-0.05	-0.49	-0.52	-0.04	-0.46	-0.32	-0.47	-0.13	0.53	-0.4	-0.01	-0.08	0.59	-0.41
122.73	48	0.4	0.23	0.32	0.37	-0.2	-0.01	0.11	-0.2	0.37	0.19	0.85	0.72	-0.35	-0.22	-0.44	-0.06	0.45	0.13	-0.11	-0.27	-0.03	0.55	0.15	-0.85	0.55	-0.33	0.32	0.38	-0.35	-0.15	0.32	-0.3	-0.13	-0.08	0.13	-0.45	0.22	0.67	0.53	0.02	-0.01	-0.45	-0.59	-0.15	-0.42	-0.46	-0.52	-0.22	0.11	-0.27	0.19	-0.15	0.04	-0.56
126.52	48.28	0.23	-0.09	0.05	0.01	-0.17	-0.03	0.54	0.05	0.39	0.02	-0.14	0.57	-0.29	0.12	-0.27	0.12	1.18	0.06	-0.47	-0.5	0.5	0.23	0.05	-0.5	0.21	-0.33	0.56	-0.14	-0.29	0.31	0.56	-0.3	0.18	-0.14	-0.32	0.04	0.17	0.47	0.51	0.08	-0.11	0.36	0.36	-0.18	-0.29	-0.5	-0.5	-0.51	0.13	-1	-0.16	-0.02	-0.44	-0.27
125.88	48.05	0.31	0.13	0.15	0.07	-0.1	-0.22	0.39	-0.16	0.49	0.08	0.23	0.55	-0.13	0.09	-0.02	0.05	0.88	0.11	-0.35	-0.41	0.37	0.37	0.2	-0.6	0.3	-0.28	0.49	0.11	-0.23	0.12	0.5	-0.38	0.11	0.07	-0.27	-0.15	0.14	0.62	0.27	-0.11	-0.08	0.12	0.09	-0.18	-0.35	-0.48	-0.53	-0.37	0.03	-0.91	-0.08	-0.01	-0.42	-0.43
119.95	47.17	0.3	0.06	0.43	0.5	0.06	0.1	-0.11	0.04	0.04	-0.58	0.8	0.57	-0.29	-0.14	-0.52	-0.03	0.92	-0.38	-0.26	-0.01	0	0.29	0.44	-0.34	-0.09	-0.2	0.23	0.15	-0.45	-0.15	0.09	-0.87	-0.33	0.16	-0.18	-0.36	-0.11	0.17	0.25	0.01	0.36	-0.6	-0.6	0.33	-0.32	0.67	-0.3	-0.51	0.4	0.05	-0.24	0.6	0.64	-0.51
124.48	47.8	0.3	0.03	0.1	0.06	-0.26	-0.2	0.31	-0.02	0.52	-0.06	0.86	0.5	-0.21	-0.19	-0.29	-0.02	0.78	0.39	-0.26	-0.42	-0.03	0.47	0.08	-0.64	0.24	-0.56	0.54	0.32	-0.2	0.23	0.2	-0.42	-0.07	0.09	-0.36	-0.24	0.29	0.62	0.2	-0.02	0.03	-0.11	0.06	-0.13	0.03	-0.51	-0.58	-0.15	0.05	-0.42	-0.13	-0.04	-0.3	-0.29
123.92	47.38	0.34	0.1	0.25	0.2	-0.06	-0.23	0.17	0.12	0.71	-0.06	0.97	0.37	-0.06	-0.39	-0.19	-0.01	0.65	0.14	-0.45	-0.53	-0.03	0.69	0.1	-0.74	0.17	-0.37	0.59	0.36	-0.15	-0.05	0.21	-0.44	0.02	0.23	-0.29	-0.19	0.13	0.43	0.13	-0.14	-0.17	-0.19	-0.14	-0.03	0.01	-0.49	-0.77	-0.17	0.22	-0.34	-0.07	-0.19	-0.08	-0.41
